date,mrr,arr,churn_rate,nps,active_customers,cac,ltv,support_tickets_7d,runway_months
2026-04-08,84000,1008000,0.060,48,150,1750,11000,30,16.0
2026-04-15,84300,1011600,0.062,47,150,1760,10800,32,15.8
2026-04-22,84600,1015200,0.065,46,149,1770,10600,34,15.5
2026-04-29,85000,1020000,0.068,44,149,1780,10400,36,15.2
2026-05-06,85200,1022400,0.070,43,148,1800,10000,40,15.0
2026-05-13,85500,1026000,0.073,41,147,1820,9800,44,14.7
2026-05-20,85800,1029600,0.078,38,146,1850,9500,50,14.4
2026-05-27,86000,1032000,0.084,35,145,1880,9300,60,14.2
2026-06-03,85000,1020000,0.090,31,142,1900,9200,89,14.2
2026-06-10,84000,1008000,0.100,30,140,1950,9000,95,14.0
2026-06-17,82500,990000,0.105,29,138,2000,8700,100,13.6
2026-06-24,81000,972000,0.115,27,135,2050,8400,108,13.2
2026-07-01,79000,948000,0.125,25,131,2100,8000,115,12.7
2026-07-08,77000,924000,0.135,23,127,2150,7600,120,12.2
2026-07-15,75000,900000,0.150,20,122,2200,7200,128,11.6
2026-07-22,73500,882000,0.160,18,118,2250,6900,135,11.1
2026-07-29,72000,864000,0.170,16,112,2300,6500,142,10.5
